name,level,faction,active,start_date,profile_pic
DlNGS90,239,Legion,Active,2013-08-18,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile85794.jpg?refresh=1024
JOHNNYlightning,100,Faceless,Retired,2013-06-28,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile61695.jpg?refresh=0422
DeepPurple,128,Faceless,Retired,2014-02-12,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile130183.jpg?refresh=0654
DESIIGNER,174,Faceless,Retired,2013-09-12,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile95907.jpg?refresh=0150
InfernalMajesty,129,Faceless,Retired,2014-02-15,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile130681.jpg?refresh=0856
clubfoot,198,Legion,Active,2012-12-18,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile10915.jpg?refresh=0143
ap0c3030,180,Faceless,Active,2012-09-16,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile5717.jpg?refresh=1103
Zuce,179,Swarm,Missing in Action,2014-02-01,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile128020.jpg?refresh=0330
CerealKiller,127,Faceless,Retired,2013-02-06,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile18388.jpg?refresh=1049
SgtSean,100,Legion,Retired,2013-05-30,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile52525.jpg?refresh=0119
jbrockman7,148,Legion,Retired,2013-05-21,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile48468.jpg?refresh=0245
Hitmeilikeit,112,Swarm,Retired,2013-08-09,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile83046.jpg?refresh=0314
THyde1515,100,Legion,Retired,2013-06-06,https://qonqrstorageeast.blob.core.windows.net/playerimages/DefaultLegionProfilePic.png
nighthawk97,100,Legion,Retired,2013-08-25,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile89961.jpg?refresh=1257
Zopyros,122,Swarm,Retired,2013-04-23,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile35629.jpg?refresh=0417
WIIZZZAARD,120,Faceless,Retired,2013-05-31,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile52981.jpg?refresh=0301
ibassassin,100,Legion,Retired,2013-08-26,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile90326.jpg?refresh=1103
scarletXmoon,177,Swarm,Retired,2013-06-30,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile62708.jpg?refresh=1244
dynamo00,100,Legion,Retired,2013-06-06,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile55773.jpg?refresh=1152
Metalchic23,159,Faceless,Retired,2013-06-29,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile62133.jpg?refresh=0756
brohaib,100,Legion,Retired,2013-06-06,https://qonqrstorageeast.blob.core.windows.net/playerimages/DefaultLegionProfilePic.png
HighHeels,100,Faceless,Retired,2013-02-20,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile20664.jpg?refresh=0944
JayVortex,179,Faceless,Fallen,2012-09-05,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile5145.jpg?refresh=0151
belle0297,100,Legion,Retired,2013-06-07,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile56183.jpg?refresh=0446
WyzZero,121,Faceless,Retired,2013-09-05,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile94485.jpg?refresh=0105
NRajcoomar,100,Legion,Retired,2013-08-23,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile87801.jpg?refresh=0143
Alexdrapp0326,100,Legion,Retired,2013-06-21,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile60055.jpg?refresh=0850
Lanc3r,100,Faceless,Retired,2014-03-18,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile134625.jpg?refresh=0202
jumppk,100,Legion,Retired,2013-08-29,https://qonqrstorageeast.blob.core.windows.net/playerimages/DefaultLegionProfilePic.png
homero96,100,Legion,Retired,2013-08-22,https://qonqrstorageeast.blob.core.windows.net/playerimages/DefaultLegionProfilePic.png
kore,145,Faceless,Retired,2013-10-26,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile109266.jpg?refresh=0343
logwalker,100,Legion,Retired,2013-05-29,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile51908.jpg?refresh=1127
Murdersaurus,109,Faceless,Retired,2013-06-06,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile55772.jpg?refresh=0705
nickyoung1011,162,Legion,Retired,2013-05-30,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile52552.jpg?refresh=0711
cas,145,Faceless,Retired,2013-05-27,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile51439.jpg?refresh=1124
RedPill,181,Faceless,Retired,2013-07-13,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile71787.jpg?refresh=0657
Tome,203,Legion,On Leave,2012-10-02,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile6665.jpg?refresh=0220
WarGhoul,159,Legion,Retired,2012-10-03,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile6839.jpg?refresh=1202
HeavySeventh,183,Legion,Retired,2012-11-22,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile8900.jpg?refresh=0132
wheg,158,Faceless,Retired,2013-09-04,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile94235.jpg?refresh=1028
harlock88,155,Legion,Retired,2012-10-04,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile6924.jpg?refresh=1200
Brasston,104,Faceless,Retired,2013-05-27,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile51458.jpg?refresh=0601
EdRoc213,157,Faceless,Retired,2013-11-17,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile114770.jpg?refresh=0723
Corpusd,139,Legion,Retired,2012-10-24,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile7783.jpg?refresh=0115
minino,173,Legion,Retired,2012-03-27,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile1116.jpg?refresh=0151
Slappy,100,Faceless,Retired,2013-05-31,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile52770.jpg?refresh=1220
DentedUp,100,Legion,Retired,2012-10-09,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile7182.jpg?refresh=1200
kasia,179,Legion,Retired,2012-03-28,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile1158.jpg?refresh=0558
sarad,119,Legion,Retired,2013-06-03,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile53902.jpg?refresh=0325
SpicyHotDog,155,Legion,Retired,2013-09-02,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile92911.jpg?refresh=0431
heartstealer28,108,Faceless,Retired,2013-09-02,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile92799.jpg?refresh=0132
Queetz,169,Legion,Retired,2013-11-01,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile110669.jpg?refresh=0257
kutengwa,218,Legion,Active,2013-05-30,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile52394.jpg?refresh=0303
gigson80,197,Legion,Active,2013-05-23,https://qonqrstorageeast.blob.core.windows.net/playerimages/DefaultLegionProfilePic.png
nyanslayer,197,Legion,Missing in Action,2013-06-08,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile56281.jpg?refresh=0124
linjin,220,Legion,Active,2013-04-15,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile33283.jpg?refresh=0911
RedArmy,198,Legion,Active,2013-05-31,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile52833.jpg?refresh=0422
frostfall,198,Legion,Active,2013-04-15,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile33226.jpg?refresh=0428
Stalin,198,Legion,Active,2013-06-01,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile53218.jpg?refresh=0324
