countryid,regionid,description
145,1951,Opstina Drugovo
145,1952,Opstina Gazi Baba
145,1953,Opstina Gevgelija
145,1954,Opstina Gostivar
145,1955,Opstina Ilinden
145,1956,Opstina Jegunovce
145,1957,Opstina Karpos
145,1958,Opstina Kavadarci
145,1959,Opstina Kicevo
145,1960,Opstina Kisela Voda
145,1961,Opstina Kocani
145,1962,Opstina Kriva Palanka
145,1963,Opstina Krivogastani
145,1964,Opstina Krusevo
145,1965,Opstina Kumanovo
145,1966,Opstina Lipkovo
145,1967,Opstina Makedonski Brod
145,1968,Opstina Negotino
145,1969,Opstina Ohrid
145,1970,Opstina Oslomej
145,1971,Opstina Petrovec
145,1972,Opstina Plasnica
145,1973,Opstina Prilep
145,1974,Opstina Probistip
145,1975,Opstina Radovis
145,1976,Opstina Rankovce
145,1977,Opstina Mavrovo i Rostusa
145,1978,Opstina Saraj
145,1979,Opstina Sopiste
145,1980,Opstina Staro Nagoricane
145,1981,Opstina Stip
145,1982,Opstina Struga
145,1983,Opstina Strumica
145,1984,Opstina Studenicani
145,1985,Opstina Suto Orizari
145,1986,Opstina Sveti Nikole
145,1987,Opstina Tearce
145,1988,Opstina Tetovo
145,1989,Opstina Veles
145,1990,Opstina Vevcani
145,1991,Opstina Vinica
145,1992,Opstina Vranestica
145,1993,Opstina Vrapciste
145,1994,Opstina Zajas
145,1995,Opstina Zelenikovo
145,1996,Opstina Zelino
145,1997,Opstina Aerodrom
145,1998,Opstina Butel
145,1999,Opstina Debarca
146,2000,Region de Tombouctou
146,2001,Region de Sikasso
146,2002,Region de Segou
146,2003,Region de Mopti
146,2004,Region de Koulikoro
146,2005,Region de Kayes
146,2006,Region de Gao
146,2007,District de Bamako
146,2008,Region de Kidal
147,2009,Tanintharyi Division
147,2010,Shan State
147,2011,Sagaing Division
147,2012,Yangon Division
147,2013,Rakhine State
147,2014,Bago Division
147,2015,Mon State
147,2016,Mandalay Division
147,2017,Magway Division
147,2018,Kayah State
147,2019,Kayin State
147,2020,Kachin State
147,2021,Ayeyarwady Division
147,2022,Chin State
148,2023,Uvs Aymag
148,2024,Hovd Aymag
148,2025,Govi-Altay Aymag
148,2026,Dzavhan Aymag
148,2027,Bayan-Olgiy Aymag
148,2028,Bayanhongor Aymag
148,2029,Ulaanbaatar Hot
148,2030,Central Aimak
148,2031,Suhbaatar Aymag
148,2032,Selenge Aymag
148,2033,OEvoerhangay
148,2034,South Govi
148,2035,Hovsgol Aymag
148,2036,Hentiy Aymag
148,2037,Mi
